id,projectId,label,icon,sortOrder
550d073d-3064-43a8-b63b-22e91006418d,ef4d244d-fb32-42d7-a4be-0f515c4ed2c8,"70,000+ Sq.Ft. Clubhouse",🏛️,0
55dbdf0c-4a7f-4be0-856e-a1f473814428,bccdee7e-3f5d-4e88-a0c9-070942334caa,Panoramic Aravalli Views,🌄,0
579d1ab5-f420-426b-991a-f8d24a1dea63,8e7d9d67-660b-4099-b583-f39f14bf9a26,Multi-Tier Security,🔒,0
588f9dcf-8d2a-4f8e-a75d-c14fbaad20aa,4c17e492-2ed5-478e-82e3-2756706a85f9,Serviced Lofts,🏠,0
59066a5f-184f-420c-8164-c4d95662006a,21f65c22-0ac4-4e2e-92df-029afe926330,Five High-Rise Towers (G+30),🏢,0
5914dddd-6ed9-455b-8be1-cb503af95ec5,6b1c33af-b1a9-49a4-a9ca-6fa3545214f2,Private Lounge & Skydeck,🪐,0
5975c4d8-104e-492a-9d1b-181c685a1031,d9401432-af8d-41fc-8230-594a70cc2a98,Premium residences in the vicinity,🏬,0
5aadd3d1-a799-4ec4-8948-a9b999e84808,a0526302-80d5-40e4-ba4f-0e030521e651,Prime Sector 88 location,📍,0
5b9f96da-859b-451a-853e-366b1a72b219,6abc2559-f9b4-4173-97fe-9b5e70f47bb1,Temperature-controlled Pool,🏊,0
5c29a6bf-535b-4edf-ac72-42c3999d1952,25c84bea-37cc-4a00-a8eb-a504f8a191f4,Prime Location,📍,0
5c48a494-cd4c-4f80-b577-c2772d891347,e59debce-1f67-4a5f-ab7e-613fe1441982,Luxury High-Rise Towers (G+45),🏙️,0
5d7f0698-72f4-433e-b643-ef80e2070fa4,165ef67e-ef7b-4dde-9a9b-817a92875500,Central Air Conditioning,❄️,0
5dca8942-4569-4695-a20c-a33c2fd9fc0d,f9b16292-de07-471d-9d9c-d9f92bd44692,Kids' Water Play & Barbeque Zone,🍖,0
5e726bd7-c19b-42ff-b384-aa97c104a5c4,254b6fe9-2325-4bb5-a35d-b214cb88764d,Wide Party Decks,🌄,0
5eff7624-a34b-4797-8941-978a77acc9eb,90c0031f-c707-4bed-b8f7-75f690c2b088,Sports Facilities,🏸,0
5f946bb7-afb6-43aa-9162-dc4d3c77d65a,bd535d19-6a06-45cc-a692-3d56849d8e89,Observatory Sky Deck at 43rd Floor,🌃,0
5fa4bb0d-de8b-46a7-8a3f-4c7960def755,986e025d-5bf1-4c5d-90b9-2c5bda59d34a,Premium retail shops,,0
60c1f93c-3a5a-4e28-b846-51996b1435b4,b78f7b94-2629-4566-b8a8-a14b578d3434,Multi-Tier Security,🔒,0
61655431-5caa-46d2-8698-086c63761f40,06e0aa61-ef5c-4892-beec-a5a1df6ec52c,Eco-Conscious Development,🌳,0
62080e32-888c-46b3-8fc1-254bd8e4c8f8,12ae60bb-6415-427c-86ad-adcb52eb5a8f,Aravalli-Facing Apartments,🏞️,0
62b9895b-e718-464a-9bc3-6789358bf02c,254b6fe9-2325-4bb5-a35d-b214cb88764d,VRV Air Conditioning,🌬️,0
63a8b60c-030c-4544-a696-3d022fc0e033,8eab2ac6-fbc3-450e-b4a9-16ae669df765,Private Elevators,🛗,0
6422c2d7-8b13-42a4-a5ee-2851bd8e08a1,4c17e492-2ed5-478e-82e3-2756706a85f9,Basement parking,🅿️,0
665c05a0-81d1-4104-b0ee-ce02a7e3c851,06e0aa61-ef5c-4892-beec-a5a1df6ec52c,Smart Home Automation,🏠,0
6753c473-6a5a-4214-8cd4-6badc3ceb16c,d6239c57-d7ed-4da1-84cc-3330b1ea324c,Double-height shop fronts,🏢,0
6779d526-9d43-4667-9f37-dde38dff1212,7a117c0f-16eb-4536-a0a6-028271a06f3b,Wrap-Around Balconies,🏞️,0
6845782b-2c4e-44b1-90e6-d679d68340a1,90c0031f-c707-4bed-b8f7-75f690c2b088,Proximity to Metro & Expressways,🚄,0
690dc780-0f74-4bfe-b4b5-35aab80094f4,a0526302-80d5-40e4-ba4f-0e030521e651,6-screen multiplex,🎬,0
69acfb0c-0c31-46bd-9523-13de4d55ea24,ae24318b-3030-428a-94f6-c9c93e7789f6,Low Density - 208 Units,🏢,0
6a6d61d5-6853-439b-a875-ff63a9e82716,2a2c45d5-0f68-459c-a286-0509b7bb6073,Sports Arena,🏟️,0
6a8e83f2-7b7f-4edd-8bba-a5391e4eab1a,8853edc1-08b4-4512-b7d8-5e10800896fe,Open Air Theatre,🌳,0
6b158ce3-8cfa-4299-b7ae-62e069dab4c4,d6239c57-d7ed-4da1-84cc-3330b1ea324c,Wide pedestrian promenades,🚶,0
6bc260a3-113f-4ef1-9433-556e4b123f17,049251cb-0089-4e71-8624-88c23074f082,Eco-Amenities Zone,🌳,0
6be6ed57-d1a9-4b90-befb-b5fe4fa1bb76,21f65c22-0ac4-4e2e-92df-029afe926330,Five-Tier Smart Security,🛡️,0
6d046aa0-f2ff-4550-8dc4-f73bf39bd6fc,491d8e64-e144-40cd-bf4b-0273fc49acf7,State-of-the-art Gym,🏋️,0
6db02ed4-2664-4b94-b93a-80bfa751e916,d6239c57-d7ed-4da1-84cc-3330b1ea324c,Smart security & surveillance,🛡️,0
6dd02a12-97d4-4c22-9c59-d9e4345cdf58,6abc2559-f9b4-4173-97fe-9b5e70f47bb1,Sprawling Lawns & Landscapes,🌳,0
6e51fccc-d104-47ff-9474-4d66739beecb,a0526302-80d5-40e4-ba4f-0e030521e651,Ground+4 floors,🏙️,0
6f02a75c-5765-4e37-adf2-27450c9c769c,bfdbaac8-419e-473e-ae73-6edd80f14387,Outdoor Gym & Yoga Studio,🏋️,0
6fd50d29-5b00-49be-8ef2-4262cac61075,21f65c22-0ac4-4e2e-92df-029afe926330,EV Charging & Smart Home Features,🔌,0
6fe059d3-901e-49ea-820e-189c6e6e724a,d2afb735-8465-414a-924f-a7226ea3319a,Private Elevators & Lobbies,🛗,0
6fe0d5f7-3f36-43a9-aad9-c4d088d8e77f,bd535d19-6a06-45cc-a692-3d56849d8e89,Smart Automated Homes,🎛,0
7007514b-892c-4c14-9312-e0668c95e67b,6a3994f8-8b87-441d-8d43-732f7162ac90,Double-Height Lobbies,🏛️,0
70e64a09-cc96-42fc-a0b5-d7ad12b98849,049251cb-0089-4e71-8624-88c23074f082,"75,000 Sq.Ft. Clubhouse",🏛️,0
72177d51-a259-44d6-b45f-e50766524124,bccdee7e-3f5d-4e88-a0c9-070942334caa,Smart Home Features,📱,0
72526cd7-bfea-4d3d-861b-46400d5b6ed0,3fed7102-bc0c-4fe5-a6b4-b30868757223,Lush Green Landscape,🌳,0
