id,projectId,configurationId,unitNumber,type,floor,areaSqFt,frontageFt,ceilingHeightFt,fitOutStatus,nearAnchor,isCorner,visibilityScore,ventilationReady,priceTotal,ratePsf,leaseModel,lockInMonths,escalationPct,availability,notes
7fb32e8a-ca50-478f-b9f0-34b883ad3e13,491d8e64-e144-40cd-bf4b-0273fc49acf7,,1,APARTMENT,4 BHK + Lounge,3712 Sq.ft,,,,false,false,,,,,,,,AVAILABLE,
80874c67-ebd0-44aa-9758-8b39291d2f0e,d0e6ac5d-365e-4efb-87da-97f37581be3a,,1,APARTMENT,4BHK,3977 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
81f62101-a8ce-446c-a881-94ecc2823d33,5ff0bc90-310e-4041-b86c-812b13c5bdad,,"Head Unit ",APARTMENT,"5BHK ",5891 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
82e2916f-2e9b-4c75-912f-52dc5eba1ed5,982ed68a-ba24-4226-b101-01e7f90de70a,,4,APARTMENT,D,133.70 Sq.Meter,,,,false,false,,,,,,,,AVAILABLE,
8408711e-f93e-448f-af74-7b53fe8d8114,f9b16292-de07-471d-9d9c-d9f92bd44692,,Unit Type-10,APARTMENT,3.5 BHK+Utility,2585 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
851c2e49-9c7c-4fe7-89ac-9403e9db6ed1,982ed68a-ba24-4226-b101-01e7f90de70a,,2,APARTMENT,B,124.60 Sq.Meter,,,,false,false,,,,,,,,AVAILABLE,
8730f26e-6b55-4d89-89c1-2e517ea23648,6a3994f8-8b87-441d-8d43-732f7162ac90,,6,APARTMENT,4.5 BHK,3000 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
88132259-4b11-4ccd-94c2-9a763571d8a5,06e0aa61-ef5c-4892-beec-a5a1df6ec52c,,6,APARTMENT,4BHK,1901 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
8883bb17-a529-40c0-a1b4-d8c33a45aae2,e59debce-1f67-4a5f-ab7e-613fe1441982,,5,APARTMENT,3BHK TYPE 1,1272 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
8a117f2b-ea74-4715-8b65-957676cfb3ad,37aab4b2-99cd-4d22-9d89-a29e1c2868c4,,1,APARTMENT,3BHK,1765 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
8be75080-5142-4c92-bde9-620ce10fd023,20e1a7ff-2d5a-4bb7-b658-2b0c95a02d42,,3,APARTMENT,3BHK,2802 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
8c201339-e775-409e-8a48-11a6d5a0a077,5ff0bc90-310e-4041-b86c-812b13c5bdad,,"Penthouse WingUnit ",APARTMENT,"4BHK ",7225 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
8df613df-a817-4abe-991c-a669686e593a,165ef67e-ef7b-4dde-9a9b-817a92875500,,5,RETAIL,3rd Floor,700 - 800 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
90135025-1faa-42bc-8f73-0b87f049bfac,f9b16292-de07-471d-9d9c-d9f92bd44692,,Unit Type-14,APARTMENT,4.5 BHK+Utility,3101 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
90803eb5-7af7-4b97-93c7-553759d203cb,a44c5240-3c6f-4c6a-96ee-8ac62af3511e,,3 BHK,APARTMENT,2nd Floor,2282 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
927e3c5e-93ad-472f-a319-d9d0b597b6d1,6a3994f8-8b87-441d-8d43-732f7162ac90,,7,APARTMENT,4.5 BHK,3415 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
94dddfa6-f12e-4332-aafa-00c1a6af6cd8,8853edc1-08b4-4512-b7d8-5e10800896fe,,2,APARTMENT,3BHK,2957 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
95d0e0b6-21d6-45a9-a530-2e5094a3a2d4,25c84bea-37cc-4a00-a8eb-a504f8a191f4,,F1-001,RETAIL,1st Floor,700-1500,,,,false,false,,,,,,,,AVAILABLE,
